LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,0,MPLS_2,67,13,0.59,42,72,29400,2800
1,0,MPLS_0,127,13,1.75,119,215,59500,2500
2,0,Internet,164,13,10.0,86,86,8600,0
3,1,MPLS_1,62,12,0.79,147,257,102900,7000
4,1,Internet,171,12,1.0,54,54,5400,0
5,2,MPLS_1,105,16,1.87,70,119,42000,2400
6,2,MPLS_0,62,9,0.75,18,27,12600,3500
7,2,Internet,174,17,6.0,53,53,5300,0
8,3,MPLS_1,106,16,1.68,44,80,22000,4000
9,3,MPLS_2,78,8,0.47,16,31,9600,6000
10,3,Internet,191,17,2.0,35,35,3500,0
11,4,MPLS_2,144,13,1.87,54,90,43200,8000
12,4,MPLS_1,69,8,0.55,22,38,11000,4000
13,4,Internet,151,12,4.0,43,43,4300,0
14,5,MPLS_1,123,14,1.73,36,65,28800,2400
15,5,MPLS_2,66,9,0.67,20,35,12000,6000
16,5,Internet,194,17,2.0,45,45,4500,0
17,6,MPLS_1,66,11,0.77,16,26,12800,8000
18,6,MPLS_0,143,12,1.19,43,83,21500,3500
19,6,Internet,143,17,5.0,31,31,3100,0
20,7,MPLS_0,85,8,0.48,14,22,11200,3200
21,7,MPLS_2,76,13,0.5,16,30,9600,3600
22,7,MPLS_1,83,14,1.62,68,102,34000,4500
23,7,Internet,199,14,10.0,88,88,8800,0
24,8,MPLS_1,141,16,0.81,38,63,26600,5600
25,8,MPLS_2,89,8,0.56,13,25,10400,8000
26,8,Internet,167,13,6.0,36,36,3600,0
27,9,MPLS_2,88,14,1.42,147,220,73500,3000
28,9,MPLS_1,81,7,0.55,76,126,60800,8000
29,9,Internet,183,12,8.0,139,139,13900,0
30,10,MPLS_0,62,11,0.74,646,1286,516800,7200
31,10,Internet,211,16,9.0,515,515,51500,0
32,11,MPLS_1,101,16,0.96,34,51,23800,4900
33,11,MPLS_2,85,13,0.43,13,25,6500,4500
34,11,Internet,186,16,6.0,23,23,2300,0
35,12,MPLS_2,61,7,0.45,4,6,3200,6400
36,12,MPLS_0,135,14,1.28,19,28,9500,4000
37,12,MPLS_1,86,11,0.62,5,8,4000,5600
38,12,Internet,172,19,4.0,21,21,2100,0
39,13,MPLS_1,67,12,0.6,15,29,10500,2800
40,13,MPLS_2,121,13,1.97,40,78,24000,5400
41,13,Internet,178,15,7.0,24,24,2400,0
42,14,MPLS_0,63,9,0.69,2,3,1200,3000
43,14,MPLS_2,144,13,1.09,9,15,6300,2800
44,14,MPLS_1,76,8,0.57,2,3,1200,1800
45,14,Internet,161,14,2.0,7,7,700,0
46,15,MPLS_0,134,14,1.94,384,588,268800,5600
47,15,MPLS_2,86,8,0.77,179,274,143200,8000
48,15,Internet,177,18,6.0,432,432,43200,0
49,16,MPLS_2,80,13,0.72,9,16,7200,4000
50,16,MPLS_1,64,10,0.65,6,11,3600,1800
51,16,MPLS_0,143,14,1.36,36,70,18000,1500
52,16,Internet,190,15,3.0,21,21,2100,0
